NEIGHBORHOOD,ADDRESS,ZIP_CODE,BUILDING_CLASS,SQUARE_FEET,SALE_PRICE
UPPER WEST SIDE,311 WEST 74 STREET,10023,A4,6380,7650000
UPPER WEST SIDE,131 WEST 70 STREET,10023,A4,6956,4320000
UPPER WEST SIDE,21 WEST 70TH STREET,10023,A4,6450,8180000
UPPER WEST SIDE,226 WEST 71ST STREET,10023,A4,7820,11500000
UPPER WEST SIDE,37 WEST 74 STREET,10023,A9,6576,9800000
UPPER WEST SIDE,38 WEST 87TH STREET,10024,A4,6254,14600000
UPPER WEST SIDE,337 WEST 87 STREET,10024,A4,6645,0
UPPER WEST SIDE,308 WEST 88 STREET,10024,A4,6306,12700000
UPPER WEST SIDE,332 WEST 77TH STREET,10024,A4,5512,0
UPPER WEST SIDE,133 WEST 78 STREET,10024,A4,5448,0
UPPER WEST SIDE,125 WEST 87TH STREET,10024,A4,4402,9995000
UPPER WEST SIDE,324 WEST 85 STREET,10024,A4,2976,3500000
UPPER WEST SIDE,324 WEST 85 STREET,10024,A4,2976,0
UPPER WEST SIDE,52 WEST 84TH STREET,10024,A5,3651,0
UPPER WEST SIDE,315 WEST 84 STREET,10024,A5,4078,6500000
WASHINGTON HEIGHTS,11 SYLVAN TERRACE,10032,A1,1500,1540000
